smiles,log_vp(pa),split
Cc1ccc(N)cc1O,-1.460131347,train
CSSC,3.530406139,train
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,-3.272474918,train
O=C(Oc1ccccc1)c1ccccc1,-0.64469818,train
O=CCO,2.821251694,train
OC1CCCCC1c1ccccc1,0.708278558,train
C=CCC(C)(C)C,4.256,train
c1ccc2c(c1)ccc1cccnc12,-1.536364861,train
CC(C)(C)Br,4.255946293,train
CC[C@H](O)C(C)C,2.856,train
Clc1ccc(Oc2ccc(Cl)c(Cl)c2)cc1Cl,-2.59,train
CC1CCC(O)CC1,1.587293303,train
C=C(C)C(=O)OCCCCCCCCCCCC,-0.799557734,train
O=S(=O)(O)Cl,1.999956568,train
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-2.930402129,train
Nc1cccc(Cl)c1,0.976166949,train
FC(F)(F)/C=C/Cl,5.115,train
CCOc1ccccc1,2.311242758,train
C[N+](C)(C)CCCl.[Cl-],-4.985938627,train
CNNCc1ccc(C(=O)NC(C)C)cc1,-3.950825409,train
CC(=O)OC1CC2CCC1(C)C2(C)C,1.485665454,train
CC(C)c1ccc2c(c1)CCC1C(C)(CN)CCCC21C,-3.251855405,train
OCc1cccs1,0.425925301,train
CCC(=O)c1ccc(C)cc1,1.087869817,train
Cc1cc(C)c(C)c(C)c1,1.815623427,train
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)c1,-2.767,train
c1ccc(-c2cccc(-c3ccccc3)n2)cc1,-3.754530764,train
Cc1c(F)c(F)c(COC(=O)C2C(/C=C(\Cl)C(F)(F)F)C2(C)C)c(F)c1F,-2.09689818,train
CCCCOC(=O)CCC,2.557014469,train
O=C=Nc1ccc(Cl)cc1,3.001714381,train
CCOP(=S)(OCC)OC(Cl)C(Cl)(Cl)Cl,-0.974724438,train
NC(=S)c1c(Cl)cccc1Cl,-3.875101438,train
Clc1ccc(Cl)c(-c2ccccc2)c1Cl,-1.15,train
CC(O)C(=O)OC(C)(C)C,2.243,train
Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,-2.86,train
Cc1ccccc1C#N,1.777354819,train
N#CCC=CCC#N,-0.03369818,train
CCCCCCCCCCCCCCCCCCCCBr,-3.958211414,train
CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],-4.257056598,train
CCCOC(=O)c1ccc(C(=O)OCCC)nc1,-1.436964393,train
CNC(=O)Oc1ccc(C)c(C)c1,-1.11319818,train
C=CC(=O)O,2.706455198,train
CCN(CC)c1ccc(/N=N/c2ccccc2)cc1,-4.94839818,train
CC(O[N+](=O)[O-])C(C)O[N+](=O)[O-],2.029,train
Cc1ccc2cc(C)c(C)cc2c1,-0.473704154,train
NCCS,2.514061389,train
CCCCCCCCCCOC(=O)Cl,0.56840919,train
Clc1cc(Cl)c2cc(Cl)ccc2c1,-0.943,train
CC(=O)C(F)(F)F,4.987026684,train
CC(C)c1cc(C(C)C)c2ccccc2c1,-0.674,train
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,-5.042595782,train
Clc1ccc(Cl)c(-c2ccccc2Cl)c1,-1.03594909,train
ClC=C(Cl)CCl,2.768365928,train
CCCOC(=O)[C@H](C)O,2.077,train
CC(C)OC(C)C,4.277179449,train
CCCCB(O)O,-1.136324137,train
CCOC(=O)CSc1nc(C(C)(C)C)nn1C(=O)N(C)C,-4.795910814,train
CCCCCCCCCCCCCCCCCCCCCCCCCC,-4.540415471,train
CCCCCCCCCCCCCCl,-0.374,train
CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,-3.097650572,train
Clc1cccc(Oc2ccc(Cl)c(Cl)c2)c1,-1.781690595,train
[SiH3][SiH2][SiH2][SiH3],3.653,train
CCOC(=O)c1ccccc1N,-0.511492715,train
CC=C(Cl)Cl,3.975726473,train
CCCCCC(=O)CCCCC,0.823883565,train
CCSCCCl,2.656383421,train
CN(C)C(=O)Nc1ccc(Cl)cc1.O=C(O)C(Cl)(Cl)Cl,-2.203006837,train
Clc1cccc(Cl)c1,2.374848181,train
O=C1c2ccccc2Cc2ccccc21,-2.612653605,train
O=[N+]([O-])c1ccc(Nc2ccccc2)cc1,-2.654996607,train
CCCCCCCCCCCC(=O)OC,-0.278478796,train
CC(C)(O)C(C)(C)O,1.823865309,train
Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,-6.39799081,train
NC(=O)CI,-0.170954178,train
OCCCO,0.761377239,train
C=COCC,4.834252252,train
CSc1nc2ccccc2s1,-1.460131347,train
Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1.[Cl-],1.823865309,train
CCC(C)OC,4.44320182,train
Cc1ccc(N)cc1,1.568632844,train
NCCCC[C@H](N)C(=O)O,-6.15209818,train
CCCCC(CC)C(=O)OCCOCCOCCOCCOC(=O)C(CC)CCCC,-4.513376859,train
C=CCSCC=C,3.096163568,train
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.574074699,train
C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,-0.901976841,train
CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F,-7.35659818,train
CO[Si](CCCCl)(OC)OC,1.715959912,train
[SiH3]S[SiH3],4.427,train
CCC(Br)C(=O)O,1.124895305,train
COc1cc(Cl)cc(Cl)c1,1.329015288,train
CCCCCC=CCC=CCCCCCCCC(=O)O,-3.936251538,train
CCN(CC)CCN,2.597651754,train
CC(C)CC(=O)C1C(=O)c2ccccc2C1=O,-3.037516257,train
c1cc(OCC2CO2)cc(OCC2CO2)c1,3.734489714,train
O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.411211706,train
Cc1ccc(C(C)c2ccccc2)cc1C,-0.875104695,train
FC(F)(F)C(F)(F)COC(F)(F)C(F)(F)F,4.636,train
CCN(C=O)CC,2.193560832,train
CC(=O)C1CCC2C3C=CC4=CC(=O)CCC4(C)C3CCC12C,-4.025071437,train
CC(C)C(C)C(C)C,3.562407753,train
COC(OC)OC,4.03551971,train
CCOC(=O)CC(=O)OCC,1.525721547,train
CCCCCCOC(=O)CCCCC,0.496,train
NCCCCCCO,-0.49489818,train
O=Cc1ccccc1O,1.897111553,train
CCCCCCCCC(=O)OCCCC,0.44091356,train
NC(CCC(=O)O)C(=O)O,-5.045408089,train
COCCOC,3.806124968,train
CC(CNC(=S)S)NC(=S)S,-3.670984712,train
O=C(O)CCCCCCCCCC(=O)O,-5.278,train
C=Cc1cccc(C=C)c1,1.92680091,train
CC1(C)[C@H](/C=C(\Cl)C(F)(F)F)[C@@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1,-6.34949818,train
CCCc1ccccc1O,1.074746545,train
BrC12CC3CC(CC(C3)C1)C2,0.622,train
C=C(Cl)C(Cl)CCl,2.399069376,train
CC(C)OC(=O)[C@@H](C)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1,-4.07029818,train
C[Si]1O[Si](C)O[Si](C)O[Si](C)O1,2.971232417,train
BrC1C2CC3CC(C2)CC1C3,0.517,train
CCOP(=S)(OCC)O/N=C(\C#N)c1ccccc1,-2.67639818,train
CCc1cc(C(N)=S)ccn1,-1.761161343,train
CCc1ccccc1C,2.538643361,train
FC(F)(F)[C@@]1(F)C(F)(F)C(F)(F)[C@]1(F)C(F)(F)F,4.695,train
c1ccc2scnc2c1,0.124895305,train
Brc1cccc(Oc2ccc(Br)cc2Br)c1,-2.697,train
CC(C)CCCCCCC=O,1.587293303,train
C[C@H](Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1)C(=O)O,-3.74479818,train
c1cc2ccc3cccc4ccc(c1)c2c34,-3.260670636,train
CCC(C)CO,2.543332789,train
O=S(=O)(Cl)N(F)F,4.775,train
Cc1ccc(C)c(O)c1,1.322437131,train
O=C(c1ccccc1)c1ccc(Cl)cc1,-1.83371201,train
CCCCCCCCCCCCCCCCCC(=O)O,-4.163823316,train
[NH4+].[OH-],5.459349056,train
FC(C(F)(F)F)C(F)(F)OCC(F)(F)F,4.153,train
N#CCCCCCCC#N,1.033,train
NCCCc1ccccc1,1.16628799,train
Cc1cccc([N+](=O)[O-])c1C,1.146954188,train
C=Cc1cccc(C)c1,2.367322568,train
NCCC(=O)O,-5.176134691,train
C=CCOC(=O)C(=C)C,2.886081352,train
COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)C1C=COC1O2,-8.107207079,train
CCCCSC,3.318040574,train
Brc1cccc2c1Oc1ccccc1O2,-2.45509818,train
FC(F)CC(F)(OC(F)(F)F)C(F)(F)F,4.42,train
CCCCCCCCCCCCCCCCCCBr,-3.10121156,train
C=C1CC(=O)O1,3.154643497,train
CCCCCCCCCCCCCC(=O)OC(C)C,-1.904294783,train
CCOCc1ccccc1,2.090228317,train
O=Cc1ccc(C(=O)O)cc1,-1.301073427,train
C=C(C)C(=O)OC1CCCCC1,1.403648906,train
CC[C@@H](C)N,4.37,train
C=C(C)[C@@H]1CC=C(C)C(=O)C1,1.13730182,train
C=CCCl,4.669196509,train
COCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,0.812913357,train
CCCCCCCCCCCCCCCCS,-0.262292154,train
CN1CCOCC1,3.362734618,train
COP(=O)(Oc1ccccc1)Oc1ccccc1,-2.810646706,train
CCCC(C)(C)CC,3.579956124,train
CCC=C(C)CC,4.03970182,train
C1CCSCC1,3.024151868,train
Cc1cc2ccccc2cc1C,-0.28184909,train
O=c1cccc[nH]1,1.865257994,train
CC(=O)C1CC1,3.775202828,train
CC(C)C#N,3.644948293,train
CCCCCCCCCCCCCCCBr,-1.70467058,train
Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1,-2.93,train
Pc1ccccc1,2.514061389,train
CC1(C)CNC(=NN=C(/C=C/c2ccc(C(F)(F)F)cc2)/C=C/c2ccc(C(F)(F)F)cc2)NC1,-5.56759818,train
